"id";"titre";"etat";"auteur";"assignes";"labels";"sprint";"cree_le";"maj_le";"cloture_le";"url"
"6";"Cr├®ation base de donn├®es";"CLOSED";"younesBenahmed";"";"";"";"2025-10-13T14:30:02Z";"2025-10-13T14:46:51Z";"2025-10-13T14:46:51Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/6"
"7";"Acheter le nom de domaine et reli├®";"CLOSED";"younesBenahmed";"";"";"";"2025-10-13T14:30:32Z";"2025-10-13T14:46:54Z";"2025-10-13T14:46:54Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/7"
"8";"Ajout de changement de mot de passe";"CLOSED";"younesBenahmed";"";"";"";"2025-10-13T14:31:16Z";"2025-10-13T14:47:06Z";"2025-10-13T14:47:06Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/8"
"5";"Mise en place d'un syst├¿me de lecture de vid├®o";"CLOSED";"MatisROMBI";"m24023995";"";"";"2025-10-13T14:29:22Z";"2025-10-21T07:10:33Z";"2025-10-21T07:10:33Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/5"
"2";"Cr├®ation de la page d'accueil";"CLOSED";"younesBenahmed";"adamaroussibentata";"";"";"2025-10-13T14:19:29Z";"2025-10-20T07:36:58Z";"2025-10-20T07:36:58Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/2"
"3";"Cr├®ation page donn├®es personnelles";"CLOSED";"MatisROMBI";"MatisROMBI";"";"";"2025-10-13T14:19:51Z";"2025-10-20T16:31:27Z";"2025-10-20T16:31:27Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/3"
"4";"Impl├®mentation du cryptage c├®sar";"CLOSED";"MatisROMBI";"MatisROMBI";"";"";"2025-10-13T14:23:19Z";"2025-10-22T13:44:10Z";"2025-10-22T13:44:10Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/4"
"9";"Cr├®ation du css responsive";"CLOSED";"MatisROMBI";"";"";"";"2025-10-13T14:34:40Z";"2025-10-13T14:46:58Z";"2025-10-13T14:46:58Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/9"
"15";"SEO";"CLOSED";"younesBenahmed";"";"";"";"2025-10-13T14:38:32Z";"2025-10-13T14:47:16Z";"2025-10-13T14:47:16Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/15"
"20";"Cr├®ation selon mod├¿le MVC ";"CLOSED";"MatisROMBI";"";"";"";"2025-10-13T14:42:41Z";"2025-10-13T14:49:35Z";"2025-10-13T14:47:40Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/20"
"21";"Cr├®ation des conditions d'utilisations";"CLOSED";"MatisROMBI";"";"";"";"2025-10-13T14:49:15Z";"2025-10-13T14:49:24Z";"2025-10-13T14:49:24Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/21"
"14";"Cr├®ation d'un syst├¿me de Sign in";"CLOSED";"MatisROMBI";"";"";"";"2025-10-13T14:37:14Z";"2025-10-13T14:47:22Z";"2025-10-13T14:47:22Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/14"
"10";"Cr├®ation d'un bouton de d├®connexion";"CLOSED";"MatisROMBI";"";"";"";"2025-10-13T14:35:26Z";"2025-10-13T14:47:13Z";"2025-10-13T14:47:13Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/10"
"12";"Cr├®ation d'un syst├¿me de login";"CLOSED";"MatisROMBI";"";"";"";"2025-10-13T14:36:09Z";"2025-10-13T14:47:11Z";"2025-10-13T14:47:11Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/12"
"13";"EMAILS & NOTIFICATIONS";"CLOSED";"younesBenahmed";"";"";"";"2025-10-13T14:36:48Z";"2025-10-13T14:47:18Z";"2025-10-13T14:47:18Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/13"
"47";"Page 404";"CLOSED";"LoicHernndz";"m24023995";"";"";"2025-10-24T06:36:27Z";"2025-11-03T06:01:20Z";"2025-11-03T06:01:20Z";"https://github.com/LoicHernndz/CyberCigales_v0/issues/47"
